id;target;source
673;Me gusta ese trabajo.;I like that job.
674;Quiero ese trabajo.;I want that job.
675;Es ese.;That's the one.
676;Ese es tu trabajo.;That's your job.
677;Ese no puede ser Tom.;That can't be Tom.
678;Ese no es mi trabajo.;That's not my job.
679;Ese soy yo.;That's me.
680;Ella hace esto todo el tiempo.;She does this all the time.
681;Él no lo hace.;He doesn't do it.
682;Fue hace mucho tiempo.;It was a long time ago.
683;¿Lo hace bien Tom?;Does Tom do it right?
684;¿Qué hace él?;What is he doing?
685;A Tom le gusta lo que hace.;Tom likes what he does.
686;No fue hace mucho.;That wasn't so long ago.
687;¿Cómo se hace eso?;How do you make that?
688;¿Qué hace Tom?;What's Tom doing?
689;¿Cómo lo hace?;How does she do it?
690;¿Qué hace?;What is he doing?
691;No me gusta cuando él hace eso.;I don't like it when he does that.
692;No me gusta cuando ella hace eso.;I don't like it when she does that.
693;Se me hace que te gusta tu trabajo.;I believe you like your job.
694;¿Cómo hace su trabajo?;How does this work?
695;Tom no hace nada.;Tom doesn't do anything.
696;Es él o yo.;It's him or me.
697;Todo o nada.;All or nothing.
698;¿Te gusta o no?;Do you like it or not?
699;O todo o nada.;All or nothing.
700;Es todo o nada.;It's all or nothing.
701;Es ahora o nunca.;It's now or never.
702;No sé si te gusta ella o no.;I don't know whether you like her or not.
703;¿Ser o no ser?;To be or not to be?
704;¿Dónde estás ahora?;Where are you now?
705;¿Por qué no estás aquí?;Why aren't you here?
706;¿Por qué no estás en casa?;Why aren't you home?
707;¿Cómo estás?;How are you doing?
708;¿No es por eso por qué estás aquí?;Isn't that why you're here?
709;¿Por eso estás aquí?;Is that why you're here?
710;No estás solo, Tom.;You're not alone, Tom.
711;¿Dónde estás?;Where are you?
712;Estás a tiempo.;You're on time.
713;¿Para qué estás aquí?;What are you here for?
714;¿Estás en casa?;Are you at home?
715;¿Por qué estás aquí?;Why are you here?
716;Nunca estás en casa.;You're never at home.
717;¿En qué estás ahora?;What are you about now?
718;¿Estás?;Are you there?
719;Tom, ¿estás bien?;Tom, are you okay?
720;Tom, ¿dónde estás?;Tom, where are you?
721;No estás solo.;You're not alone.
722;¿Estás bien?;Are you all right?
723;¿Estás solo?;Are you alone?
724;Estás bien.;You are good.
725;Sé por qué estás aquí.;I know why you're here.
726;¿Cómo estás, Tom?;How are you, Tom?
727;¿Cómo estás ahora?;How are you now?
728;Lo tienes todo.;You've got everything.
729;No tienes nada.;You've got nothing.
730;¿Lo tienes todo?;Do you have everything?
731;¿Te tienes que ir?;Do you need to go?
732;No tienes mucho tiempo.;You haven't got much time.
733;¿Qué tienes que hacer ahora?;What must you do now?
734;¿Tienes tiempo?;Do you have some time?
735;¿Tienes algo más?;Do you have anything else?
736;Aquí tienes.;There you are.
737;¿Lo tienes?;Do you have it?
738;¿Qué no tienes?;What don't you have?
739;¿Tienes una casa?;Do you have a house?
740;¿Tienes casa?;Do you have a house?
741;¿Tienes tiempo mañana?;Do you have time tomorrow?
742;No tienes dinero.;You haven't any money.
743;¿Por qué te tienes que ir?;Why do you have to go?
744;Sé que lo tienes.;I know you have it.
745;¿Eso es todo lo que tienes?;Is that all you have?
746;¿Qué tienes?;What do you have?
747;¿No tienes nada que hacer?;Don't you have anything to do?
748;¿Tienes dinero?;Do you have money?
749;Lo tienes que hacer.;You have to do it.
750;Tienes algo de dinero, ¿no?;You have some money, don't you?
751;¿No tienes trabajo que hacer?;Don't you have work to do?
752;Esto es lo que tienes que hacer.;This is what you must do.
753;Tienes que ir.;You have to go.
754;No tienes por qué hacer eso.;You don't need to do that.
755;¿Es todo lo que tienes?;That all you've got?
756;No, no tienes por qué.;No, you don't have to.
757;¿Tienes algo de dinero?;Do you have some money?
758;¿No tienes dinero?;Don't you have any money?
759;Él no dijo nada.;He didn't say a word.
760;¿Por qué no dijo nada Tom?;Why didn't Tom say anything?
761;Tom dijo que estaba bien.;Tom said it was OK.
762;Tom dijo que él estaba bien.;Tom said he was OK.
763;Tom nunca dijo nada.;Tom never said anything.
764;Tom dijo: "Me gusta.";Tony said, "I like it."
765;Ella dijo algo.;She said something.
766;Esto fue lo que él dijo.;This is what he said.
767;Ella le dijo algo.;She said something to him.
768;Fue ella la que me lo dijo.;It was her that told me.
769;¿Qué dijo?;What did you say?
770;¿Qué le dijo Tom a Mary?;What did Tom tell Mary?
771;¿Por qué no se lo dijo Tom a Mary?;Why didn't Tom tell Mary?
772;Eso es lo que ella dijo.;That's what she said.
773;Me lo dijo todo.;He told me everything.
774;No me gusta lo que él dijo.;I don't like what he said.
775;Tom es el que me dijo que hacer.;Tom is the one who told me what to do.
776;Tom nos dijo.;Tom told us.
777;Ella no dijo nada.;She did not say anything.
778;Tom no le dijo nada a Mary.;Tom didn't tell Mary anything.
779;¿Qué dijo ella?;What did she say?
780;Tom nunca dijo que no.;Tom never said no.
781;¿Por qué no me lo dijo?;Why didn't she tell me?
782;No sé por qué Tom no nos lo dijo.;I don't know why Tom didn't just tell us.
783;¿Tom dijo algo?;Did Tom say anything?
784;Ella dijo que no más trabajo.;She said no more work.
785;Ella me dijo "te quiero".;She said 'I love you' to me.
786;Tom no se lo dijo a todos.;Tom didn't tell everyone.
787;¿Ella dijo eso?;Did she say that?
788;Dijo que no tienes para qué ir.;He said that you need not go.
789;Ella no me dijo nada en la mañana.;She didn't tell me anything in the morning.
790;Eso es lo que Tom dijo.;That's what Tom said.
791;Eso no lo dijo.;He did not say so.
792;Ella se lo dijo a todos.;She told everyone.
793;¿Qué más dijo Tom?;What else did Tom say?
794;Se lo dijo a todos.;He told everyone.
795;Tom no me lo dijo.;Tom didn't tell me.
796;¿Qué dijo Tom?;What did Tom say?
797;No dijo nada.;He didn't say anything.
798;¿Por qué dijo eso Tom?;Why did Tom say that?
799;Esto es lo que dijo.;This is what he said.
800;Tom no dijo nada.;Tom didn't say anything.
801;Tom no dijo mucho.;Tom didn't say much.
802;Tom no dijo eso.;Tom didn't say that.
803;Eso fue hace dos años.;That was two years ago.
804;Eso era hace dos años.;That was two years ago.
805;Él tiene dos años más que yo.;He is older than I by two years.
806;Ella tiene dos años más que yo.;She is senior to me by two years.
807;Tiene dos años más que yo.;He's two years older than me.
808;Eso fue hace años.;That was years ago.
809;Todo lo que tengo es un libro.;All I have is a book.
810;Aquí hay un libro.;Here is a book.
811;Como un libro.;I eat a book.
812;¿Tienes un libro?;Do you have a book?
813;¿Dónde está mi libro?;Where's my book?
814;Quiero el libro.;I want the book.
815;Es un libro.;It is a book.
816;Este libro no es de Tom.;This book doesn't belong to Tom.
817;Mi libro está aquí.;My book is here.
818;El libro está aquí.;The book is here.
819;¿Qué libro es este?;What book is this?
820;No es más que un libro.;It's only a book.
821;Tengo mi libro.;I have my book.
822;¿Tienes el libro?;Do you have the book?
823;Hay un libro aquí.;There's a book here.
824;Ella tiene un libro.;She has got a book.
825;Él tiene un libro.;He has a book.
826;Ese es mi libro.;That is my book.
827;Es tu libro.;That is your book.
828;Tengo un libro.;I have a book.
829;A él le gusta este libro.;He likes this book.
830;Aquí está tu libro.;Here is your book.
831;No tengo este libro.;I don't have this book.
832;¿Dónde está el libro?;Where is the book?
833;Es este libro.;It's this book.
834;Esto es un libro.;It is a book.
835;Tiene un libro.;He has a book.
836;¿Te gusta este libro?;Do you like this book?
837;Tu libro está aquí.;Your book is here.
838;Le gusta ese libro.;He likes that book.
839;Ese libro es de ellos.;That book is theirs.
840;No me gusta este libro.;I don't like this book.
841;Este es un libro.;It is a book.
842;Quiero un libro.;I want a book.
843;Quiero ese libro.;I want that book.
844;Este es mi libro.;This is my book.
845;¿Eso es de un libro?;Is that from a book?
846;Este es el libro de Tom.;This is Tom's book.
847;Me gusta tu libro.;I like your book.
848;No puedo hablar.;I can't talk.
849;No quiero hablar con Tom.;I don't want to talk to Tom.
850;Quiero hablar con Tom, por favor.;I want to speak with Tom, please.
851;Quiero hablar con ella.;I want to talk to her.
852;Quiero ir a hablar con Tom.;I want to go talk to Tom.
853;¿Puedo hablar con él?;May I speak with him?
854;No le quiero hablar más.;I don't want to talk to him anymore.
855;Quiero hablar con todos ellos.;I want to talk to all of them.
856;¿Puedo hablar con ella?;Can I speak to her?
857;Por eso quiero hablar con Tom.;That's why I want to talk to Tom.
858;Me gusta hablar.;I like talking.
859;No tienes que hablar.;You don't have to speak.
860;No quiero hablar de ella.;I don't want to talk about her.
861;A Tom no le gusta hablar de su trabajo.;Tom doesn't like to talk about his work.
862;No puedo hablar por Tom.;I can't speak for Tom.
863;¡Para de hablar!;Shut your trap!
864;Tom no tiene tiempo para hablar ahora.;Tom doesn't have time to talk to you now.
865;Yo puedo hablar.;I’m able to speak.
866;Más que nada le gusta hablar.;She likes talking best of all.
867;¿Puedo hablar con Tom?;Can I speak to Tom?
868;Quiero hablar con él.;I want to talk to him.
869;Quiero hablar de Tom.;I want to talk about Tom.
870;Quiero hablar con Tom ahora.;I want to speak with Tom now.
871;No quiero hablar más.;I don't want to talk anymore.
872;Quiero hablar con Tom.;I want to talk to Tom.
873;Solo quiero hablar.;I just want to talk.
874;No quiero hablar del tiempo.;I don't want to talk about the weather.
875;No quiero hablar con Tom nunca más.;I never want to talk to Tom again.
876;Tengo que hablar con él.;I need to talk to him.
877;Ahora no puedo hablar.;I can't talk now.
878;Tom no puede hablar.;Tom can't talk.
879;Puedo hablar con Tom.;I can speak to Tom.
880;No puedo hablar ahora.;I can't talk now.
881;Tengo que ir a hablar con Tom.;I have to go talk to Tom.
882;Ya están aquí.;They're already here.
883;¿Por qué están aquí?;Why are they here?
884;Tom y Mary están en el trabajo ahora.;Tom and Mary are at work now.
885;¿Están todos bien?;Are you guys OK?
886;¿Están bien?;Are you guys OK?
887;¿Cómo están?;How do you do?
888;Todos están aquí ahora.;Everyone is here now.
889;¿Cómo están todos en casa?;How's everybody at home?
890;Todos están bien.;Everybody is fine.
891;No están aquí.;They aren't here.
892;Yo no sé dónde están.;I don't know where they are.
893;Y aquí están.;And here they are.
894;¿Dónde están todos?;Where is everybody?
895;¡Aquí están!;Here they are!
896;Todos están bien en casa.;All are well at home.
897;¿Dónde están?;Where are you?
898;¿Cómo están todos?;How are you all?
899;Están aquí.;They are here.
900;¿En dónde están todos?;Where's everyone?
901;Ellos ya están aquí.;They're already here.
902;¿Quién dijo eso?;Who said that?
903;No sé quién es ella.;I don't know who she is.
904;Sé quién es ella.;I know who she is.
905;¿Quién lo dijo?;Who said that?
906;¿Con quién puedo hablar?;Who can I talk to?
907;Ella no tiene con quién hablar.;She has no one to speak to.
908;¿Quién te dijo que no estaba bien?;Who told you that I wasn't well?
909;¿Quién puede ser?;Who can it possibly be?
910;¿Quién está aquí?;Who's here?
911;¿Quién es ella?;Who is she?
912;¿Quién te gusta más?;Who do you like the most?
913;No sé quién es.;I don't know who he is.
914;¿Quién está en la casa?;Who is in the house?
915;¿Quién es? "Soy yo.";Who is it? "It's me."
916;¿Quién es?;Who is it?
917;¿Quién puede hacer este trabajo?;Who can do this work?
918;¿Quién no estaba aquí?;Who was not here?
919;¿De quién es este dinero?;Whose money is this?
920;¿De quién es este libro?;Whose book is this?
921;¿Quién soy yo?;Who am I?
922;No sé quién soy.;I don't know who I am.
923;Sé quién soy.;I know who I am.
924;¿Quién es Tom?;Who's Tom?
925;¿Quién era ese?;Who was that?
926;¿Quién es este?;Who's this one?
927;¿De quién son?;Whose are they?
928;Sé quién es.;I know who he is.
929;¿De quién es ese libro?;Whose book is this?
930;¿Quién es él?;Who is he?
931;¿De quién es?;Whose is it?
932;¿Quién?;Who?
933;¿Quién te dijo eso?;Who told you that?
934;¿De quién es esto?;Whose is this?
935;¿Qué? ¿Quién, yo?;What? Who, me?
936;¿De quién es esta casa?;Who owns this house?
937;¿Quién estaba dónde?;Who was where?
938;Ellos están sin trabajo ahora.;They are out of work now.
939;Estoy sin dinero.;I'm broke.
940;Creo que está por aquí.;I think it's around here.
941;Creo en Tom.;I believe Tom.
942;Creo que sé dónde está Tom.;I think I know where Tom is.
943;No lo creo.;No, I don't think so.
944;Te creo.;I believe you.
945;Creo que a Tom le gusta Mary.;I think Tom likes Mary.
946;Creo que me gusta.;I kind of like it.
947;No creo.;I don't think so.
948;Creo que es lo que hay que hacer.;I think it's the right thing to do.
949;Ya no le creo.;I don't believe him any longer.
950;Creo que te gusta tu trabajo.;I believe you like your job.
951;Me gusta, creo.;I kind of like it.
952;Creo que me gusta Tom.;I kind of like Tom.
953;Creo que sé lo que es esto.;I think I know what this is.
954;Creo que es él.;I believe it to be him.
955;Eso creo.;I think so.
956;No creo en ellos.;I don't believe in them.
957;No te creo.;I don't believe you.
958;No le creo a Tom.;I don't believe Tom.
959;Creo que a él no le gusta aquí.;I think he doesn't like it here.
960;Yo creo en él.;I believe in him.
961;Creo que está bien.;I think it's OK.
962;Siempre te creo.;I always believe you.
963;Creo que es Tom.;I think it's Tom.
964;Creo que por eso Tom está aquí.;I think that's why Tom is here.
965;Yo soy el mejor.;I am the best.
966;Tom estaba mejor.;Tom was better.
967;¡Hacer todo mejor que yo no te hace mejor que yo!;Doing everything better doesn't make you better than me!
968;Eso está mejor.;That's better.
969;Ahora estoy mucho mejor.;I'm quite better now.
970;Estoy mejor que él.;I'm better than him.
971;Quiero ser mejor.;I want to be better.
972;Soy mejor que él.;I'm better than him.
973;¿No tienes nada mejor que hacer?;Don't you have anything better to do?
974;Nada puede ser mejor que eso.;Nothing can be better than that.
975;Él es mejor que yo.;He is better than me.
976;Yo soy mejor.;I'm better.
977;Mejor no hablar.;You'd better not speak.
978;Tom es el mejor en lo que hace.;Tom is the best at what he does.
979;¿No tienes nada mejor que hacer con tu tiempo?;Don't you have anything better to do with your time?
980;Esto es mucho mejor.;This is better by far.
981;Esto está mucho mejor.;This is better by far.
982;Quiero lo mejor.;I want the best.
983;No tengo nada mejor que hacer.;I have nothing better to do.
984;Esta es la mejor.;This is the best.
985;Está mejor.;It's better.
986;Es mejor que nada.;It's better than nothing.
987;¿Qué libro es mejor?;Which book is better?
988;Soy el mejor.;I'm the best.
989;Quiero algo mejor.;I want something better.
990;¿No tiene nada mejor que hacer?;Don't you have anything better to do?
991;Quiero lo mejor para Tom.;I want what's best for Tom.
992;Tom nada mejor que Mary.;Tom swims better than Mary.
993;Ella nada mejor que Mary.;She swims better than Mary.
994;Eso es mejor, ¿o no?;That's better, isn't it?
995;¿Está mejor?;Is that better?
996;Algo es mejor que nada.;Something is better than nothing.
997;Tom es un hombre.;Tom is a man.
998;Tom es el hombre.;Tom is the man.
999;Él ya es un hombre.;He's already a man.
1000;¿Quién es este hombre?;Who is this man?
